location,zh_cn
site/app/components/code-block.html,复制
site/app/components/code-block.js,代码已复制！
site/app/components/code-example.html,显示示例
site/app/components/code-example.html,显示 javascript 代码
site/app/components/code-example.html,显示 html 代码
site/app/components/code-example.html,显示 scss 代码
site/app/layout/footer.html,关于
site/app/layout/footer.html,许可证
site/app/layout/header.js,默认蓝
site/app/layout/header.js,暗夜蓝
site/app/layout/header.js,炫酷紫
site/app/layout/header.js,暗夜紫
site/app/layout/nav-content.js,首页
site/app/layout/nav-content.js,快速上手
site/app/layout/nav-content.js,主题
site/app/layout/nav-content.js,路由整合
site/app/layout/nav-content.js,国际化
site/app/layout/nav-content.js,UI 规范
site/app/layout/nav-content.js,阴影|Elevation
site/app/layout/nav-content.js,布局|Layout
site/app/layout/nav-content.js,版式|Typography
site/app/layout/nav-content.js,状态|States
site/app/layout/nav-content.js,组件
site/app/layout/nav-content.js,头像|Avatar
site/app/layout/nav-content.js,徽章|Badge
site/app/layout/nav-content.js,底栏|Bottom Bar
site/app/layout/nav-content.js,按钮|Button
site/app/layout/nav-content.js,卡片|Card
site/app/layout/nav-content.js,内容|Content
site/app/layout/nav-content.js,日期选择|Datepicker
site/app/layout/nav-content.js,对话框|Dialog
site/app/layout/nav-content.js,分隔线|Divider
site/app/layout/nav-content.js,抽屉|Drawer
site/app/layout/nav-content.js,空提示|Empty State
site/app/layout/nav-content.js,表单|Forms
site/app/layout/nav-content.js,自动补全|Autocomplete
site/app/layout/nav-content.js,多选框|Checkbox
site/app/layout/nav-content.js,纸片|Chips
site/app/layout/nav-content.js,文件选择|File
site/app/layout/nav-content.js,文本框|Input & Textarea
site/app/layout/nav-content.js,单选项|Radio
site/app/layout/nav-content.js,下拉选择|Select
site/app/layout/nav-content.js,切换|Switch
site/app/layout/nav-content.js,文本高亮|Highlight
site/app/layout/nav-content.js,图标|Icon
site/app/layout/nav-content.js,列表|List
site/app/layout/nav-content.js,菜单|Menu
site/app/layout/nav-content.js,分页|Pagination
site/app/layout/nav-content.js,气泡确认框|Popconfirm
site/app/layout/nav-content.js,气泡卡片|Popover
site/app/layout/nav-content.js,进度条|Progress
site/app/layout/nav-content.js,消息提示|Snackbar
site/app/layout/nav-content.js,正在加载|Spinner
site/app/layout/nav-content.js,步骤条|Steppers
site/app/layout/nav-content.js,子标题|Subheader
site/app/layout/nav-content.js,表格|Table
site/app/layout/nav-content.js,标签页|Tabs
site/app/layout/nav-content.js,工具栏|Toolbar
site/app/layout/nav-content.js,工具提示|Tooltip
site/app/layout/nav-content.js,关于
site/app/layout/nav-content.js,许可证
